Date,Workout_Type,Duration_Minutes,Calories_Burned,Body_Weight_KG,Reps_or_Sets,Notes
2026-05-26,Rest,0.0,0.0,80.6,N/A,Rest day
2026-05-27,Flexibility,24.0,78.0,80.3,N/A,Deep stretching
2026-05-28,Sports,85.0,913.0,80.1,N/A,Swimming laps
2026-05-29,Strength,74.0,383.0,80.3,3x11,Upper body push
2026-05-30,,,,80.6,4x11,Forgot to log details
2026-05-31,Sports,84.0,758.0,80.7,N/A,Basketball with friends
2026-06-01,Cardio,33.0,258.0,80.8,N/A,Stationary bike
2026-06-02,Flexibility,29.0,128.0,80.8,N/A,Deep stretching
2026-06-03,Strength,57.0,303.0,81.2,4x11,Pull day
2026-06-04,Rest,0.0,0.0,81.2,N/A,Rest day
2026-06-05,Rest,0.0,0.0,81.3,N/A,Rest day
2026-06-06,Flexibility,22.0,87.0,81.3,N/A,Vinyasa Yoga
2026-06-07,Sports,60.0,653.0,850.0,N/A,Tennis match
2026-06-08,Cardio,58.0,443.0,850.1,N/A,Rowing machine
2026-06-09,Strength,67.0,344.0,850.1,4x8,Lower body squats
2026-06-10,Flexibility,21.0,71.0,850.0,N/A,Mobility routine
2026-06-11,Cardio,58.0,439.0,850.1,N/A,Treadmill run
2026-06-12,Sports,84.0,810.0,850.3,N/A,Basketball with friends
2026-06-13,Sports,66.0,642.0,850.0,N/A,Swimming laps
2026-06-14,Rest,0.0,0.0,849.8,N/A,Rest day
2026-06-15,Rest,0.0,0.0,850.0,N/A,Rest day
2026-06-16,Sports,68.0,621.0,849.9,N/A,Basketball with friends
